Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Jerramungup,54130,WA,500,<100,0.066,0.836,0,0.164,negligible,-,<100,-,<100
Joondalup,54170,WA,58400,2100,0.036,0.645,0.335,0.02,500,0.183,3100,0.107,100-200
Kalamunda,54200,WA,21700,900,0.043,0.659,0.246,0.095,300,0.252,1400,0.089,<100
Kalgoorlie-Boulder,54280,WA,10900,300,0.029,0.677,0.238,0.086,700,0.675,500,0.03,<100
Karratha,54310,WA,7300,100,0.018,0.322,0.586,0.092,700,0.841,300,0.018,<100
Katanning,54340,WA,1600,100,0.038,0.765,0.213,0.022,100,0.704,100,0.027,<100
Kellerberrin,54410,WA,500,<100,0.003,0,0,1,negligible,-,<100,-,<100
Kent,54480,WA,200,-,-,-,-,-,-,-,-,-,-
Kojonup,54550,WA,800,<100,0.021,0.851,0,0.149,100,0.75,<100,0.024,<100
Kondinin,54620,WA,300,-,-,-,-,-,-,-,-,-,-
Koorda,54690,WA,200,-,-,-,-,-,-,-,-,-,-
Kulin,54760,WA,300,-,-,-,-,-,-,-,-,-,-
Kwinana,54830,WA,16300,1100,0.068,0.738,0.195,0.067,700,0.372,1800,0.068,<100
Lake Grace,54900,WA,500,<100,0.02,0,0,1,negligible,-,<100,-,<100
Laverton,54970,WA,200,-,-,-,-,-,-,-,-,-,-
Leonora,55040,WA,400,-,-,-,-,-,-,-,-,-,-
Mandurah,55110,WA,36400,3000,0.082,0.717,0.277,0.006,1200,0.278,4600,0.084,200-300
Manjimup,55180,WA,3700,300,0.068,0.579,0.223,0.198,200,0.443,400,0.052,<100
Meekatharra,55250,WA,300,-,-,-,-,-,-,-,-,-,-
Melville,55320,WA,39300,1500,0.037,0.608,0.369,0.022,900,0.382,2400,0.067,100-200
Menzies,55390,WA,100,-,-,-,-,-,-,-,-,-,-
Merredin,55460,WA,1300,<100,0.012,0.183,0.637,0.18,100,0.877,<100,0.016,<100
